,Date,Home,Away
473,2012-12-15 00:00:00,-1,1
474,2012-12-15 00:00:00,1,-1
475,2012-12-16 00:00:00,1,-1
476,2012-12-22 00:00:00,-1,1
477,2012-12-22 00:00:00,1,-1
478,2012-12-22 00:00:00,0,0
479,2012-12-21 00:00:00,-1,1
480,2012-12-22 00:00:00,1,-1
481,2012-12-22 00:00:00,0,0
482,2012-12-22 00:00:00,1,-1
483,2012-12-23 00:00:00,1,-1
484,2012-12-23 00:00:00,1,-1
485,2012-12-23 00:00:00,1,-1
486,2012-08-19 00:00:00,0,0
487,2012-08-18 00:00:00,1,-1
488,2012-08-19 00:00:00,1,-1
489,2012-08-18 00:00:00,1,-1
490,2012-08-17 00:00:00,0,0
491,2012-08-18 00:00:00,1,-1
492,2012-08-18 00:00:00,1,-1
493,2012-08-19 00:00:00,1,-1
494,2012-08-18 00:00:00,1,-1
495,2012-08-18 00:00:00,0,0
496,2013-01-12 00:00:00,-1,1
497,2013-01-12 00:00:00,1,-1
498,2013-01-13 00:00:00,1,-1
499,2013-01-11 00:00:00,0,0
500,2013-01-13 00:00:00,-1,1
501,2013-01-12 00:00:00,-1,1
502,2013-01-11 00:00:00,0,0
503,2013-01-13 00:00:00,1,-1
504,2013-01-12 00:00:00,-1,1
505,2013-01-19 00:00:00,0,0
506,2013-01-20 00:00:00,-1,1
507,2013-01-20 00:00:00,-1,1
508,2013-01-19 00:00:00,-1,1
509,2013-01-20 00:00:00,-1,1
510,2013-01-19 00:00:00,1,-1
511,2013-01-18 00:00:00,0,0
512,2013-01-19 00:00:00,1,-1
513,2013-01-19 00:00:00,1,-1
514,2013-01-27 00:00:00,-1,1
515,2013-01-27 00:00:00,1,-1
516,2013-01-26 00:00:00,0,0
517,2013-01-26 00:00:00,0,0
518,2013-01-27 00:00:00,1,-1
519,2013-01-26 00:00:00,1,-1
520,2013-01-25 00:00:00,-1,1
521,2013-02-03 00:00:00,1,-1
522,2013-02-02 00:00:00,1,-1
523,2013-02-02 00:00:00,-1,1
524,2013-02-02 00:00:00,0,0
525,2013-02-02 00:00:00,0,0
526,2013-02-03 00:00:00,-1,1
527,2013-02-03 00:00:00,1,-1
528,2013-02-02 00:00:00,-1,1
529,2013-02-01 00:00:00,-1,1
530,2013-02-09 00:00:00,1,-1
531,2013-02-10 00:00:00,-1,1
532,2013-02-09 00:00:00,-1,1
533,2013-02-09 00:00:00,0,0
534,2013-02-08 00:00:00,1,-1
535,2013-02-10 00:00:00,1,-1
536,2013-02-09 00:00:00,1,-1
537,2013-02-09 00:00:00,0,0
538,2013-02-09 00:00:00,1,-1
539,2013-02-16 00:00:00,-1,1
540,2013-02-17 00:00:00,-1,1
541,2013-02-16 00:00:00,0,0
542,2013-02-15 00:00:00,1,-1
543,2013-02-16 00:00:00,1,-1
544,2013-02-16 00:00:00,1,-1
545,2013-02-17 00:00:00,0,0
546,2013-02-17 00:00:00,1,-1
547,2013-02-16 00:00:00,0,0
548,2013-02-23 00:00:00,-1,1
549,2013-02-24 00:00:00,-1,1
550,2013-02-24 00:00:00,1,-1
551,2013-02-22 00:00:00,1,-1
552,2013-02-24 00:00:00,1,-1
553,2013-02-23 00:00:00,0,0
554,2013-02-23 00:00:00,0,0
555,2013-02-23 00:00:00,0,0
556,2013-03-02 00:00:00,1,-1
557,2013-03-03 00:00:00,0,0
558,2013-03-03 00:00:00,1,-1
559,2013-03-02 00:00:00,0,0
560,2013-03-03 00:00:00,1,-1
561,2013-03-01 00:00:00,1,-1
562,2013-03-02 00:00:00,1,-1
563,2013-03-02 00:00:00,1,-1
564,2013-03-02 00:00:00,-1,1
565,2013-03-09 00:00:00,1,-1
566,2013-03-10 00:00:00,1,-1
567,2013-03-09 00:00:00,-1,1
568,2013-03-10 00:00:00,0,0
569,2013-03-10 00:00:00,1,-1
570,2013-03-09 00:00:00,1,-1
571,2013-03-08 00:00:00,0,0
572,2013-03-09 00:00:00,1,-1
573,2013-03-09 00:00:00,-1,1
574,2013-03-16 00:00:00,1,-1
575,2013-03-16 00:00:00,1,-1
576,2013-03-15 00:00:00,0,0
577,2013-03-16 00:00:00,0,0
578,2013-03-17 00:00:00,1,-1
579,2013-03-16 00:00:00,1,-1
580,2013-03-17 00:00:00,0,0
581,2013-03-16 00:00:00,0,0
582,2013-03-17 00:00:00,0,0
583,2012-08-24 00:00:00,0,0
584,2012-08-26 00:00:00,-1,1
585,2012-08-25 00:00:00,-1,1
586,2012-08-25 00:00:00,0,0
587,2012-08-26 00:00:00,0,0
588,2012-08-25 00:00:00,1,-1
589,2012-08-25 00:00:00,1,-1
590,2012-08-26 00:00:00,1,-1
591,2012-08-25 00:00:00,0,0
592,2012-08-25 00:00:00,1,-1
593,2013-03-30 00:00:00,-1,1
594,2013-03-30 00:00:00,0,0
595,2013-03-31 00:00:00,-1,1
596,2013-03-31 00:00:00,-1,1
597,2013-03-31 00:00:00,-1,1
598,2013-03-29 00:00:00,1,-1
599,2013-03-30 00:00:00,-1,1
600,2013-03-30 00:00:00,0,0
601,2013-03-30 00:00:00,-1,1
602,2013-04-06 00:00:00,1,-1
603,2013-04-07 00:00:00,1,-1
604,2013-04-05 00:00:00,1,-1
605,2013-04-06 00:00:00,1,-1
606,2013-04-06 00:00:00,1,-1
